qb_id,qb_name,qualifying_receivers,ypg_highs,tdpg_highs,ypg_lows,tdpg_lows,expected_equal,expected_seasons,elev_ypg_oe,elev_tdpg_oe,elev_blended,depr_ypg_oe,depr_tdpg_oe,depr_blended,net_ypg,net_tdpg,net_blended,yards_rate,td_rate,career_starts
00-0024226,Jay Cutler,28,12,11,8,6,9.10952380952381,8.623290598290598,1.3915801471863618,1.2756151349208316,1.3335976410535966,0.9277200981242412,0.6957900735931809,0.811755085858711,0.46386004906212064,0.5798250613276507,0.5218425551948855,0.42857142857142855,0.39285714285714285,145
00-0029263,Russell Wilson,38,17,22,12,12,13.276190476190475,14.999431124431124,1.1333763166731265,1.4667222921652225,1.3000493044191745,0.8000303411810304,0.8000303411810304,0.8000303411810304,0.3333459754920961,0.6666919509841921,0.5000189632381441,0.4473684210526316,0.5789473684210527,198
00-0021429,Carson Palmer,27,14,13,7,10,9.036111111111111,11.320436507936508,1.236701428446236,1.1483656121286479,1.192533520287442,0.618350714223118,0.8833581631758829,0.7508544386995004,0.618350714223118,0.26500744895276496,0.44167908158794167,0.5185185185185185,0.48148148148148145,152
00-0026143,Matt Ryan,32,16,13,10,9,9.692857142857143,12.702380952380953,1.2596063730084348,1.0234301780693533,1.141518275538894,0.7872539831302717,0.7085285848172446,0.7478912839737581,0.4723523898781631,0.31490159325210876,0.3936269915651358,0.5,0.40625,232
00-0029668,Andrew Luck,17,5,6,5,2,4.917857142857143,5.156168831168831,0.9697122347459228,1.1636546816951074,1.0666834582205151,0.9697122347459228,0.38788489389836917,0.678798564322146,0.0,0.7757697877967382,0.3878848938983691,0.29411764705882354,0.35294117647058826,85
00-0036212,Tua Tagovailoa,16,6,5,5,2,5.133333333333333,5.35515873015873,1.1204149685068543,0.9336791404223787,1.0270470544646164,0.9336791404223787,0.37347165616895145,0.653575398295665,0.18673582808447564,0.5602074842534273,0.3734716561689514,0.375,0.3125,60
00-0029604,Kirk Cousins,29,11,14,9,8,9.14563492063492,10.949603174603174,1.004602616605661,1.2785851484072048,1.141593882506433,0.8219475954046316,0.730620084804117,0.7762838401043743,0.1826550212010294,0.5479650636030878,0.36531004240205855,0.3793103448275862,0.4827586206896552,160
00-0007091,Matt Hasselbeck,26,9,12,7,8,8.23611111111111,8.286580086580086,1.0860934071674853,1.4481245428899803,1.2671089750287328,0.8447393166858218,0.9654163619266535,0.9050778393062376,0.24135409048166345,0.4827081809633268,0.3620311357224951,0.34615384615384615,0.46153846153846156,90
00-0032268,Marcus Mariota,24,8,11,9,6,6.844047619047619,6.112526362526363,1.3087878113778029,1.7995832406444787,1.5541855260111408,1.4723862878000282,0.981590858533352,1.22698857316669,-0.16359847642222536,0.8179923821111267,0.3271969528444507,0.3333333333333333,0.4583333333333333,75
00-0026993,Josh Freeman,10,6,4,3,5,3.7,3.7904761904761903,1.5829145728643217,1.0552763819095479,1.3190954773869348,0.7914572864321608,1.3190954773869348,1.0552763819095479,0.7914572864321608,-0.2638190954773869,0.2638190954773869,0.6,0.4,61
00-0005106,Brett Favre,19,7,7,5,6,6.533333333333333,6.138600288600288,1.1403251019616603,1.1403251019616603,1.1403251019616603,0.8145179299726144,0.9774215159671373,0.8959697229698759,0.32580717198904585,0.16290358599452293,0.2443553789917844,0.3684210526315789,0.3684210526315789,73
00-0027854,Sam Bradford,26,9,5,6,5,7.123412698412698,6.46555944055944,1.3919909147446123,0.7733282859692291,1.0826596003569207,0.9279939431630749,0.7733282859692291,0.850661114566152,0.4639969715815374,0.0,0.23199848579076865,0.34615384615384615,0.19230769230769232,82
00-0028118,Tyrod Taylor,11,3,3,2,3,2.776190476190476,2.5305555555555554,1.185510428100988,1.185510428100988,1.185510428100988,0.7903402854006587,1.185510428100988,0.9879253567508234,0.39517014270032935,0.0,0.19758507135016468,0.2727272727272727,0.2727272727272727,57
00-0011022,Donovan McNabb,17,7,5,5,5,5.294444444444444,5.1109279609279605,1.3696142957822188,0.9782959255587277,1.1739551106704733,0.9782959255587277,0.9782959255587277,0.9782959255587277,0.39131837022349114,0.0,0.19565918511174563,0.4117647058823529,0.29411764705882354,70
00-0023459,Aaron Rodgers,27,11,14,12,8,9.544444444444444,12.847384804737747,0.8562053808759208,1.0897159392966265,0.9729606600862737,0.9340422336828227,0.6226948224552151,0.7783685280690189,-0.07783685280690189,0.46702111684141134,0.19459213201725478,0.4074074074074074,0.5185185185185185,237
00-0021678,Tony Romo,16,8,10,6,9,5.3428571428571425,7.983008658008658,1.002128438376964,1.252660547971205,1.1273944931740845,0.7515963287827231,1.1273944931740845,0.9394954109784037,0.2505321095942409,0.1252660547971205,0.18789908219568074,0.5,0.625,126
00-0035228,Kyler Murray,17,5,6,5,4,5.486111111111111,5.4015373515373515,0.9256623947211865,1.1107948736654238,1.0182286341933051,0.9256623947211865,0.7405299157769492,0.8330961552490679,0.0,0.3702649578884747,0.18513247894423723,0.29411764705882354,0.35294117647058826,80
00-0035289,Gardner Minshew,19,7,6,6,5,6.292857142857143,5.4523809523809526,1.2838427947598252,1.1004366812227073,1.1921397379912664,1.1004366812227073,0.9170305676855894,1.0087336244541483,0.1834061135371179,0.1834061135371179,0.1834061135371181,0.3684210526315789,0.3157894736842105,51
00-0036971,Trevor Lawrence,17,9,4,5,6,6.011111111111111,5.802813852813853,1.5509716886120333,0.689320750494237,1.120146219553135,0.8616509381177963,1.0339811257413556,0.9478160319295759,0.689320750494237,-0.34466037524711857,0.17233018762355923,0.5294117647058824,0.23529411764705882,59
00-0035710,Daniel Jones,17,5,7,5,5,6.076190476190476,6.166341991341991,0.810853502290398,1.1351949032065571,0.9730242027484776,0.810853502290398,0.810853502290398,0.810853502290398,0.0,0.32434140091615915,0.16217070045807958,0.29411764705882354,0.4117647058823529,67
00-0019596,Tom Brady,43,11,20,17,12,13.616666666666667,13.44625652125652,0.8180715563927139,1.4874028298049342,1.1527371930988242,1.2642924053341942,0.8924416978829606,1.0783670516085775,-0.4462208489414803,0.5949611319219736,0.07437014149024668,0.2558139534883721,0.46511627906976744,253
